基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
000948,华夏沪港通恒生ETF联接A,2018-09-17,1.2094,1.2094,-1.0068,1.4512,-1.4264,-4.5009,-6.3134,2.1712,19.8969,35.2796,-4.5386,20.94,0.12%
001874,前海开源沪港深价值精选混合,2018-09-17,0.9860,1.1560,-0.9045,1.4404,-1.0040,-4.1788,-6.4292,0.8785,,,-4.8797,14.7997,0.15%
000369,广发全球医疗保健(QDII),2018-09-14,1.4890,1.5990,-0.2679,1.4305,2.1963,14.2748,15.8755,13.9250,25.7601,29.5104,14.3625,63.8307,0.13%
539003,建信全球资源混合(QDII),2018-09-17,0.9330,0.9650,0,1.4131,0.7560,3.3223,9.7647,12.4097,29.4037,26.7664,4.9494,-3.7084,0.16%
004453,前海开源盈鑫A,2018-09-17,1.0120,1.0660,0,1.4028,2.9502,8.5837,-0.7843,2.5164,,,-0.8815,6.6292,0.15%
004454,前海开源盈鑫C,2018-09-17,1.0190,1.0730,0,1.3930,3.0334,8.5197,-0.7790,3.1997,,,-0.8754,7.3399,
005813,华安CES港股通ETF联接A,2018-09-17,0.9519,0.9519,-1.0293,1.3630,-0.9778,-4.4469,,,,,,-4.81,0.12%
005814,华安CES港股通ETF联接C,2018-09-17,0.9653,0.9653,-1.0456,1.3545,-1.0152,-4.4257,,,,,,-3.47,
501016,国泰中证申万证券行业指数,2018-09-17,0.7192,0.7192,-0.4292,1.3529,-0.3464,-11.9275,-21.0191,-35.7914,,,-25.0130,-28.08,0.12%
096001,大成标普500,2018-09-14,1.8810,2.0390,-0.0531,1.3470,1.7306,9.8715,12.9729,17.9688,31.4764,47.7759,10.6084,108.8351,0.15%
162415,华宝标普美国消费人民币,2018-09-14,1.5140,1.5140,-0.4602,1.3387,2.3665,10.2695,17.7294,32.5744,47.4197,,21.8021,51.40,0.12%
005659,南方恒指ETF联接C,2018-09-17,1.03,1.03,-0.9806,1.3381,-1.2275,-4.6296,-6.5251,,,,,3,
160633,鹏华证券分级,2018-09-17,0.9860,0.4210,-0.4040,1.3359,-0.5046,-12.4853,-21.9906,-36.4094,-32.9257,-38.9267,-25.7892,-59.3252,0.12%
